Name,Rank,Global Score from US News,Image,Description,City,Country,Country Code
New York University,32,79.2,https://www.usnews.com/object/image/00000158-88a4-d975-af7f-ecb526090000/$161121_NYU?size=responsive640&update-time=1479761269740,"New York University, also known as NYU, is a private university that was founded in 1831. The university's main campus is in New York City, and it has additional campuses in Abu Dhabi, United Arab Emirates, and Shanghai, which opened in 2010 and 2013, respectively. In a recent year, around one-quarter of the NYU student body was international, with students hailing from more than 130 countries. For several years, NYU has welcomed more international students to campus than any other U.S. university. Tuition costs are the same for domestic and international students, and university housing is available for both undergraduate and graduate students.

NYU has 18 schools and colleges that offer studies in a variety of fields, including arts and sciences, business, engineering, law, nursing and more. The university follows a semester-based academic calendar with a three-week January term. The primary language of instruction is English. NYU has 11 academic centers located around the world – including sites in Berlin; Buenos Aires, Argentina; and Tel Aviv, Israel – that are home to NYU students who are studying abroad. A sampling of the university's many research institutes and centers includes the Brennan Center for Justice, the Sleep Disorder Center and the Vincent C. Ross Institute of Accounting Research. Students at the undergraduate level are included in research activities at NYU through such programs as the Dean's Undergraduate Research Fund, which awards grants to students pursuing research projects.",New York City,United States,USA
University of Amsterdam,33,79.1,N/A,"The University of Amsterdam is a public institution that traces its roots back to 1632. The university is spread across four campuses in the Netherlands – the City Centre Campus, the Roeterseiland Campus, the Amsterdam Science Park and the Academic Medical Center. In a recent year, more than 30,000 students attended the university. Tuition at the Dutch institution is higher for students from non-European Union and non-European Economic Area countries, with the exception of Swiss and Surinamese students. The university reserves a number of rooms for international students in residences that outside housing organizations manage.

The university has seven academic divisions: dentistry, economics and business, humanities, law, medicine, science, and social and behavioral sciences. The school's academic calendar is semester-based. The primary language of instruction for bachelor’s programs is Dutch, though several English-taught programs are available. Many master's programs are taught in English. Around one-fourth of the University of Amsterdam's research is conducted in one of the institution’s 20 research priority areas, which include infection and immunity, behavioral economics, and private and public European law. Some of the university’s research institutes include the Amsterdam Institute for Advanced Labour Studies, the Institute for Biodiversity and Ecosystem Dynamics and the Anton Pannekoek Institute for Astronomy. The university also manages two institutes – one in Athens, Greece, and the other in Saint Petersburg, Russia – that are members of the Dutch Scientific Institutes Abroad network. The institutes support Dutch staff and students who conduct research overseas.",Amsterdam,Netherlands,NLD
University of New South Wales Sydney,34,79.0,N/A,,Kensington,Australia,AUS
ETH Zurich,35,78.9,N/A,,Zurich,Switzerland,CHE
King's College London,36,78.7,N/A,,London (U.K.),United Kingdom,GBR
Chinese University of Hong Kong,37,78.5,N/A,,Shatin,Hong Kong,HKG
Monash University,38,78.4,https://www.usnews.com/object/image/00000153-ec2c-d802-ab7f-feacb9230000/$160406_MonashU?size=responsive640&update-time=1459956316556,"Monash University is a public institution that was established in 1958. It is located in the state of Victoria in southeastern Australia and is named after Sir John Monash, an Australian military leader and engineer. The Clayton campus, the largest of the university’s five Australian sites, is situated around 12 miles southeast of Victoria's capital city, Melbourne. Monash University also has a branch campus in Malaysia, a graduate school in China jointly run with Southeast University and several other affiliated international sites. Students at Monash hail from more than 100 countries. International students pay higher tuition at Monash, though some scholarships are available. Three of the university's Australian campuses offer on-campus student housing.

The university has many academic divisions: art, design and architecture; arts; business and economics; education; engineering; information technology; law; medicine, nursing and health sciences; pharmacy and pharmaceutical sciences; and science. The language of instruction at Monash is English, and the university follows a semester-based academic calendar. Undergraduates can enroll in honors programs that offer a fourth year of study, heavily focused on research. In Australia, a bachelor honors degree is a higher-level credential than a bachelor's degree. Monash University has student-exchange agreements with upward of 100 partner universities in more than 25 countries. Some of the university's research centers and institutes are the Monash Injury Research Institute, the Monash Centre for Atomically Thin Materials and the Monash Sustainable Development Institute.",Clayton,Australia,AUS
University of Edinburgh,39,78.2,https://www.usnews.com/object/image/00000157-8ca2-ddc3-af5f-cfab484d0000/$161003_UniofEdinburgh?size=responsive640&update-time=1475533316583,"The University of Edinburgh is a public institution that was founded in 1583. It is spread across five campuses in Edinburgh, Scotland – the capital and one of the country's largest cities. The university's Central Area Campus contains the main administrative buildings and library as well as humanities and social science facilities. The other sites are the King’s Buildings, Easter Bush, Little France and Western General Hospital campuses. Tuition costs are higher for students from outside Scotland and the European Union.

The university has three colleges – arts, humanities and social science; medicine and veterinary medicine; and science and engineering – with a combined total of 20 schools. The university’s academic calendar is semester-based, and the primary language of instruction is English. Students can enroll in free six-week introductory Gaelic classes to get a taste of Scotland's historical language. First-year undergraduate students who are from outside Edinburgh are guaranteed housing. Graduate student accommodations are also available and are guaranteed for new graduate students from outside the EU. One notable research achievement associated with the university is the first cloning of a mammal from an adult somatic cell. Dolly, a sheep, was cloned at the University of Edinburgh’s Roslin Institute in 1996. Some of the university's other research centers and institutes include the Centre on Constitutional Change, the MRC Institute of Genetics and Molecular Medicine and the UK Centre for Astrobiology.",Edinburgh,United Kingdom,GBR
Icahn School of Medicine at Mount Sinai,40,77.5,N/A,,New York City,United States,USA
University of British Columbia,41,77.1,https://www.usnews.com/object/image/00000155-7e9e-d3ec-a9fd-7fdfc7240000/$160623_UBC?size=responsive640&update-time=1466708333713,"The University of British Columbia is a public institution located in the Canadian province of British Columbia. The university was established in 1908 and opened in 1915. It has two main campuses – the Vancouver campus and the Okanagan campus located in Kelowna. The Vancouver campus is the larger of the two, accommodating more than 85 percent of UBC students. In a recent year, 23 percent of students at the Vancouver campus and around 13 percent at the Okanagan campus were international. Tuition costs at UBC vary by degree program and are higher for international students. University housing is guaranteed for first-year UBC undergraduates, and newly admitted international students who are second-year undergrads receive housing priority too. Housing is also available for returning undergraduate and graduate students. 

The Vancouver campus offers more than two dozen academic divisions, while the Okanagan campus has eight. The academic calendars for both campuses include two-term winter and summer sessions, although the summer session is optional. The primary language of instruction at UBC is English. First-year international students can opt to enroll in the Vantage One program at UBC's Vantage College, which aims to help students improve their English, in part by stretching their first year of study from eight to 11 months. Following completion, students transition into the second year of their UBC degree program. Examples of UBC research facilities include Canada’s national TRIUMF subatomic physics laboratory, the Centre for Sustainable Food Systems at UBC Farm and the Institute for Healthy Living and Chronic Disease Prevention.",Vancouver,Canada,CAN
University of Copenhagen,41,77.1,N/A,,Copenhagen,Denmark,DNK
University of Queensland,43,76.7,https://www.usnews.com/object/image/00000157-902c-dca0-ad7f-d8bffa2f0000/$161004_UQ?size=responsive640&update-time=1475592705802,"The University of Queensland Australia is a public institution that was established in 1909. It is located in and around Brisbane, Australia, the capital of Queensland. The university has three main campuses: the St Lucia campus, where the large majority of students study; the Gatton campus, the university’s hub for agriculture and veterinary science; and the Herston campus, which houses the school’s clinical health facilities. Other University of Queensland sites – including marine research stations, teaching hospitals and an underground mine – are located around Queensland. Tuition costs vary by subject and are higher for international students. University student housing is available at both the St Lucia and Gatton campuses.

The university has six main academic divisions: business, economics and law; engineering, architecture and information technology; health and behavioral sciences; humanities and social sciences; medicine and biomedical sciences; and science. English is the language of instruction at the University of Queensland, and the university follows a semester-based academic calendar. Some courses are also offered during a shorter summer semester. As is the case at many Australian universities, bachelor’s students can earn an honors degree by completing an additional year or two of study, focused heavily on research. The university’s research facilities include the Institute for Molecular Bioscience, the Queensland Brain Institute and the Australian Institute for Bioengineering and Nanotechnology. Undergraduate students can receive scholarships to participate in research during summer and winter breaks via university research programs.",Brisbane,Australia,AUS
University of Hong Kong,44,76.6,N/A,,Pok Fu Lam,Hong Kong,HKG
Zhejiang University,45,76.5,N/A,"Zhejiang University is a public institution that traces its roots back to 1897. The university is located in Hangzhou, the capital of China’s Zhejiang province, about 110 miles southwest of Shanghai. More than 47,000 students attend the university, and around half of them study at the undergraduate level. Zhejiang University comprises seven campuses: the main campus, Zijingang, and the Yuquan, Xixi, Huajiachi, Zhijiang, Zhoushan and Haining campuses. Tuition costs are higher for international students and vary by subject and degree level. University housing is available for both undergraduate and graduate students.

The university offers programs in a variety of disciplines, including engineering, the humanities and medicine. In all, students can choose from more than 120 undergraduate programs and well over 300 master's programs. Doctoral programs are also available. The primary language of instruction is Chinese, but Zhejiang University also offers more than a dozen master’s degree programs taught in English. The English-taught master’s offerings include programs in business, China studies and engineering. The university follows a four-term academic calendar. University resources include seven affiliated hospitals and a library that houses more than 6.83 million volumes. Among the laboratory facilities at Zhejiang University are more than a dozen national key labs that focus on different specialty areas, such as the State Key Lab of Clean Energy Utilization, the State Key Lab of Rice Biology and the State Key Lab of Modern Optical Instrumentation.",Hangzhou,China,CHN
Shanghai Jiao Tong University,46,76.3,N/A,,Shanghai,China,CHN
Humboldt University of Berlin,47,76.2,https://www.usnews.com/object/image/00000156-8fa5-d0b3-ad56-dfe5c0e60000/$160815_HumboldtUniversitat?size=responsive640&update-time=1471289096134,"Humboldt-Universität zu Berlin is a public institution in Germany that was founded in 1810. The university’s campuses include Campus Adlershof, home to the natural sciences; Campus Mitte, where the arts and humanities are based, as well as law, economics and business, and theology; and Campus Nord, the university’s hub for the life sciences. In a recent year, roughly half of the university's students were pursuing bachelor’s degrees. Humboldt-Universität does not charge students for tuition. Instead, students pay a relatively low semester fee, which is generally the case at public universities in Germany. Some student housing is available through Studentenwerk, a public organization that manages various services for university students in the region.

The university comprises many academic divisions, including faculties of arts and humanities, economics and business administration, law, life sciences, mathematics and natural sciences, medicine, social sciences and theology. The primary language of instruction at Humboldt-Universität is German, and the university’s academic calendar is semester-based. The university's medical school, Charite – Medical University of Berlin, is jointly operated with the Free University of Berlin. In a recent year, nearly 7,000 students were enrolled at Charite. Humboldt-Universität has cooperation agreements of varying types with more than 190 institutions around the world. For example, the university has teaching and research partnerships with the National University of Singapore, Princeton University in the U.S. and Brazil's Universidade de São Paulo. The university has several major interdisciplinary research centers, such as the August Boeckh Centre for Antiquity and the Georg-Simmel Center for Metropolitan Studies.",Berlin,Germany,DEU
Universite Paris Cite,47,76.2,N/A,,Paris,France,FRA
Utrecht University,49,76.1,https://www.usnews.com/object/image/00000157-7618-dca0-ad7f-7ebf35550000/$160929_UtrechtUniv?size=responsive640&update-time=1490132368352,"Utrecht University is a public institution that was founded in 1636. It is located in the city of Utrecht in the Netherlands, less than 30 miles south of Amsterdam. The university has four locations, and its main campus is the Utrecht Science Park - De Uithof campus, situated east of the Utrecht city center. Around 30,000 students attend the university, and tuition costs are higher for students from non-European Union and non-European Economic Area countries, with the exception of Swiss and Surinamese students. Students can apply for housing in dormitories managed by an outside organization.

The university has seven main academic divisions: geosciences; humanities; law, economics and governance; medicine; science; social and behavioral sciences; and veterinary medicine. Additionally, there are two university colleges – University College Roosevelt and University College Utrecht – focused on liberal arts education for undergraduates as well as a center for teaching and learning. All told, the university offers around 45 bachelor’s degree programs and more than 130 master’s degree programs. Dutch is the primary language of instruction, though a handful of bachelor’s programs and more than 80 master's programs are English-taught. Examples of master's programs taught in English are those in banking and finance, the cultural history of modern Europe and religious studies.

Much of the research at Utrecht University is structured around the four strategic themes of dynamics of youth, institutions for open societies, life sciences and sustainability. Some of the university’s research institutes are the Copernicus Institute of Sustainable Development and the Institute for Marine and Atmospheric Research.",Utrecht,Netherlands,NLD
KU Leuven,50,76.0,N/A,,Leuven,Belgium,BEL
University of North Carolina Chapel Hill,51,75.8,https://www.usnews.com/object/image/00000156-2ee0-d816-abf7-aeeb86670000/$160727_university-of-north-carolina-chapel-hill-hero?size=responsive640&update-time=1562015481454,"University of North Carolina—Chapel Hill is a public institution that was founded in 1789. It has a total undergraduate enrollment of 19,355, its setting is suburban, and the campus size is 729 acres. It utilizes a semester-based academic calendar. University of North Carolina—Chapel Hill's ranking in the 2021 edition of Best Colleges is National Universities, #28. Its in-state tuition and fees are $9,021; out-of-state tuition and fees are $36,200.

The University of North Carolina—Chapel Hill, often referred to as UNC, offers a wide range of student activities. Popular student organizations include The Daily Tarheel, UNC’s student newspaper, and WXYC, the student-run radio station. Nearly 20 percent of students are members of Greek life. Chapel Hill, which surrounds UNC, is often considered one of the best college towns in the country, offering music, restaurants and shopping. Almost half of all undergraduates live on campus in one of the residence halls or apartment complexes. The North Carolina Tar Heels are members of the Atlantic Coast Conference and are known for their men’s basketball team, which maintains a storied rivalry with nearby institution Duke University and is one of the most successful programs in college basketball. Former players include Michael Jordan and Vince Carter.

UNC is divided into a number of schools and colleges, the largest of which is the undergraduate College of Arts and Sciences. Graduate programs include the highly ranked Kenan—Flagler Business School, School of Education, School of Law, School of Medicine, Gillings School of Global Public Health, School of Social Work, Eshelman School of Pharmacy and School of Government. At least 82 percent of each freshmen class must be from North Carolina, as dictated by state law. Actor and former professional basketball player Rick Fox, the 11th president of the United States James K. Polk, and former U.S. Senator John Edwards all earned degrees from UNC.",Chapel Hill,United States,USA
Karolinska Institutet,52,75.5,https://www.usnews.com/object/image/0000014c-e29e-d76f-a55c-e2bebc5b0000/$150422_Karolinska_Institute_1.jpg?size=responsive640&update-time=1429731753740,"The Karolinska Institute is a public institution that was founded in 1810 as a school for army surgeons. It is located in Sweden, with the Solna campus just outside the Stockholm city center and the Huddinge Campus to the south. The school offers degrees solely in the medical and health sciences. Around one-fifth of the Karolinska Institute student body is international. Students from European Union and European Economic Area countries as well as Switzerland do not pay tuition; all other students do. Some university housing is available, and tuition-paying students are guaranteed accommodations.

The institute offers programs in a variety of medical and health fields, including dentistry, optometry and nursing, to name a few. Its academic calendar is semester-based. The primary language of instruction at the school is Swedish, but several degree programs, known as global bachelor's and global master's programs, are offered in English. Some of the English-taught master's offerings are programs in bioentrepreneurship, global health and public health sciences. The institution offers a three-day intensive Swedish language class to all new international students. Research is prevalent at the Karolinska Institute and covers nine main focus areas, which include cancer and hematology, epidemiology and public health sciences, and neuroscience. More than 40 percent of the academic medical research conducted in Sweden occurs at the school. Since 1901, a committee of 50 Karolinska Institute professors has selected the recipients of the Nobel Prize in physiology or medicine.",Stockholm,Sweden,SWE
University of Pittsburgh,52,75.5,https://www.usnews.com/object/image/0000016c-9bfb-d1ec-a97f-9bfbdf8b0000/$190816university_of_pittsburgh2?size=responsive640&update-time=,,Pittsburgh,United States,USA
City University of Hong Kong,54,75.2,N/A,,Kowloon,Hong Kong,HKG
"University of Chinese Academy of Sciences, CAS",54,75.2,N/A,,Beijing,China,CHN
Leiden University,56,75.1,N/A,"Leiden University is a public institution that was founded in 1575, making it the oldest university in the Netherlands. It is located in the city of Leiden, with facilities just a few miles away in The Hague as well. Students from countries outside the European Union and European Economic Area, with the exception of Swiss and Surinamese students, pay higher tuition. The university does not operate its own student housing, but the school housing office helps international students secure accommodations managed by an outside organization.

The university has seven main academic divisions: archaeology, governance and global affairs, humanities, law, medicine, science, and social and behavioral sciences. In all, the university offers upward of 40 bachelor’s and 70 master’s programs. Most Leiden University bachelor’s programs are taught in Dutch, though a handful of English-taught programs are available. The primary language of instruction for graduate programs is English. The university’s academic calendar is semester-based. Leiden University has 11 research focus areas, including brain function and dysfunction over the lifespan, interaction between legal systems and language diversity in the world. The university is involved with the Leiden Bio Science Park – a cluster of more than 170 businesses, research institutes and other organizations focused in large part on drug research and development. Some of the university’s facilities are located in the science park, including the faculties of science and social sciences, as well as the Leiden University Medical Center.",Leiden,Netherlands,NLD
University of Munich,57,75.0,N/A,"The University of Munich is a public institution that traces its roots back to 1472. It is situated in Munich – the capital of Bavaria and one of the largest cities in Germany. The university's downtown campus is home to the social science and humanities disciplines, while its “HighTechCampus” in the southeast part of the city is home to the natural and life sciences. In a recent year, just more than half of the university's students were studying at the undergraduate level. Students at LMU Munich, as the university is sometimes called, generally do not pay tuition. However, some of the school's English-taught degree programs charge tuition. A limited amount of student housing is available through Studentenwerk München, or the Munich Student Union, a public organization.

In all, the university has 18 academic divisions, including faculties of business administration, medicine and social sciences and offers more than 200 degree programs. The primary language of instruction at the University of Munich is German. However, the institution does offer some English-taught master’s degree programs, including programs in economics, neuro-cognitive psychology and software engineering. The university's academic calendar is semester-based, with classes beginning in October and April. The University of Munich has around 50 research centers, such as the Center for Neuropathology, the Center for Quantitative Risk Analysis and the Munich Center for Ethics. The university also boasts more than a dozen external partner research institutes, including the Bavarian Academy of Fine Arts and the Institute of Law for Lawyers.",Munich,Germany,DEU
Hong Kong Polytechnic University,58,74.7,N/A,,Kowloon,Hong Kong,HKG
Free University of Berlin,59,74.4,N/A,"The Free University of Berlin is a public institution that was founded in 1948. The university has three main campuses in Berlin. Additionally, Free University and Humboldt-Universität zu Berlin jointly operate the Charite – Medical University of Berlin, which enrolls students affiliated with both universities. In a recent year, roughly 16 percent of the Free University student body was pursuing doctoral degrees. Students do not pay tuition for most degree programs, which is generally the case at public universities in Germany. Student housing is available, though the accommodations are not located on campus and are managed by outside organizations that have agreements with the university.

The university has 11 academic departments, the joint medical school as well as three central institutes that offer degrees in Eastern European, Latin American and North American studies. In all, Free University offers some 180 bachelor's and master's degree programs as well as around 50 doctoral programs. The university’s academic calendar is semester-based, with courses beginning in October and April. The primary language of instruction is German, though the university offers some English-taught programs, most of which are at the master's level. The English-taught master's offerings include programs in computational sciences, international health and North American studies. Around 600 international scholars and scientists come to the university each year to serve in teaching and research roles. Among the university’s interdisciplinary research focus areas are plant sciences, functional materials at the nanoscale and disease in human aging.",Berlin,Germany,DEU
Ruprecht Karls University Heidelberg,59,74.4,https://www.usnews.com/object/image/00000156-8f51-d0b3-ad56-df758b100000/$160815_HeidelbergUniversity?size=responsive640&update-time=1471283464981,"Heidelberg University is a public institution that was founded in 1386, earning it the title of Germany's oldest university. The school is located in Heidelberg in the state of Baden-Württemberg and is spread across three campuses. Just less than 20 percent of the total student body is international. The university does not charge students for tuition – this is generally the case with public universities in Germany. Students instead pay relatively low semester fees. Some student housing is available through Studierendenwerk, a public organization that provides accommodations and other services to university students.

The university has a dozen academic divisions: theology, law, philosophy, modern languages, economics and social sciences, behavioral and cultural studies, math and computer science, chemistry and earth sciences, physics and astronomy, biosciences and two medical faculties. The school's academic calendar is semester-based, and the primary language of instruction is German. A few master's degree programs are taught in English, including programs in American studies, economics and international health. The university collaborates with several outside organizations on research activities, including the German Cancer Research Centre, the European Laboratory for Molecular Biology and the Heidelberg Institute for Theoretical Studies. One research achievement associated with Heidelberg University is the creation of the Bunsen burner. The professor for whom the now-common chemistry device is named taught at Heidelberg and, with others, invented the burner.",Heidelberg,Germany,DEU
University of Zurich,59,74.4,N/A,,Zurich,Switzerland,CHE
McGill University,62,74.3,https://www.usnews.com/object/image/00000156-6b7c-d0b3-ad56-ff7dbd8b0000/$160808_McGillUniversity?size=responsive640&update-time=1470682544421,"McGill University is a public institution that was founded in 1821 and is located in Quebec, Canada. The university has two campuses: the downtown campus in Montreal and the Macdonald campus in Sainte-Anne-de-Bellevue. The two campuses are approximately 20 miles apart. The primary language of instruction is English, although in a recent year around 20 percent of university students said French was their mother tongue. In fact, around half of the population of Montreal speaks French as a first language. Around one-fourth of the student body is international, with students hailing from more than 150 countries. University housing is available for undergraduate and graduate students on both campuses.

The university is made up of 10 faculties and schools – agricultural and environmental sciences, arts, dentistry, education, engineering, law, management, medicine, music and science – that offer around 300 programs of study. Around two-thirds of the university's students study at the undergraduate level. Tuition costs are higher for international students, and McGill's academic calendar is based on a semester system. The university is affiliated with multiple teaching hospitals, and its medical school is the oldest in Canada. Research at the university takes place at more than 40 McGill research centers – such as the McGill Centre for Bioinformatics, the Centre on Population Dynamics and the Centre for Intellectual Property Policy – and at other affiliated institutes and hospitals. The creation of the first artificial blood cell is among the research achievements associated with the university.",Montreal,Canada,CAN
Sorbonne Universite,62,74.3,N/A,,Paris,France,FRA
University of Glasgow,62,74.3,N/A,,Glasgow,United Kingdom,GBR
University of Texas Austin,65,74.2,https://www.usnews.com/object/image/0000016c-9c02-df7f-adfe-fdd3e1ce0000/$190816university_of_texas--austin0?size=responsive640&update-time=,,Austin,United States,USA
Ohio State University,66,74.1,https://www.usnews.com/object/image/0000016c-9c08-d1ec-a97f-9c0a322b0000/$190816ohio_state_university--columbus2?size=responsive640&update-time=,,Columbus,United States,USA
Vanderbilt University,66,74.1,N/A,,Nashville,United States,USA
University of Manchester,68,74.0,N/A,,Manchester,United Kingdom,GBR
Emory University,69,73.9,N/A,,Atlanta,United States,USA
Fudan University,70,73.8,N/A,"Fudan University is a public institution that was founded in 1905. The university is located in Shanghai, China, and is spread across four sites: the Handan, Jiangwan, Fenglin and Zhangjiang campuses. More than 30,000 students are enrolled at Fudan University. Undergraduate students reside on campus in one of five residential colleges – Zhide, Tengfei, Keqing, Renzhong or Xide – for all four years of their studies. Each college is named after a former university leader and has its own dean and student management board. Housing is also available for graduate students.

In all, Fudan University offers around 70 undergraduate majors, as well as almost 250 master’s degree programs and some 150 doctoral programs. The undergraduate programs are structured according to a liberal arts core curriculum. The university’s academic calendar is semester-based, and tuition costs are higher for international students. The primary language of instruction is Chinese, but a handful of degree programs are taught in English. In 2000, Fudan University merged with Shanghai Medical University, and the university is affiliated with 11 hospitals. The university has been a major participant in national research for much of its history; research bodies at the university include national key labs for genetic engineering, surface physics and medical neurobiology. Fudan's Undergraduate Research Opportunities Program supports around 700 undergraduates' research work each year. And when students need a break from their studies, they can choose from more than 300 student clubs to participate in, including almost 20 international student groups.",Shanghai,China,CHN
"University of Science & Technology of China, CAS",71,73.7,https://www.usnews.com/object/image/00000156-5c51-d0b3-ad56-dc75f4e30000/$160805_university_of_science_and_technology_of_china_1_small.jpg?size=responsive640&update-time=1470428006711,"The University of Science and Technology of China is a public university that the Chinese Academy of Sciences founded in 1958. USTC, as the university is sometimes called, is situated in Hefei, the capital of China’s Anhui province, and has five campuses within the city located relatively close to each other. Around 1.5 percent of the student body hails from abroad. Many of the university's international students receive financial support from one of three sources: the USTC Scholarship, the Chinese Government Scholarship or a fellowship that the Chinese Academy of Sciences and the World Academy of Sciences offers. All three types of aid cover tuition and provide a stipend for other education-related costs. University housing is available for both undergraduate and graduate students.

USTC has more than a dozen schools, many of which are devoted to the sciences, but the university also has academic divisions focused on subjects such as public affairs and business. Additionally, the USTC School of the Gifted Young offers instruction for advanced students. The university follows a semester-based academic calendar. The primary language of instruction is Chinese, though some master’s and most doctoral programs are also offered in English. More than 70 percent of undergraduate students participate in USTC’s Research Program for Undergraduates, which takes place at university labs and Chinese Academy of Sciences research institutes. Among the research labs that USTC operates are the National Synchrotron Radiation Laboratory, the Hefei National Laboratory for Physical Sciences at the Microscale and the State Key Laboratory of Fire Science.",Hefei,China,CHN
University of Maryland College Park,72,73.4,N/A,,College Park,United States,USA
University of Minnesota Twin Cities,72,73.4,https://www.usnews.com/object/image/0000016c-9c0e-d1ec-a97f-9c0e5cd40000/$190816university_of_minnesota--twin_cities2?size=responsive640&update-time=,,Minneapolis,United States,USA
University of Wisconsin Madison,72,73.4,https://www.usnews.com/object/image/0000016c-9c0a-d1ec-a97f-9c0ac2330000/$190816university_of_wisconsin--madison18?size=responsive640&update-time=,"The University of Wisconsin—Madison, founded in 1848, is a public university located in the U.S. Midwest. Madison is the capital of Wisconsin, a state located near the Great Lakes and not far from the U.S.-Canadian border. More than 40,000 students attend the university, and in a recent year more than 65 percent of the student body was studying at the undergraduate level. International students at the university hail from more than 100 countries. Tuition costs at the University of Wisconsin—Madison are higher for non-Wisconsin residents, though Minnesota residents also pay a lower rate. University housing is available for both undergraduate and graduate students. Housing options include residence halls that vary in size from around 30 to more than 1,100 residents.

The university has a number of schools and colleges, including those focused on agricultural and life sciences, arts, business, education, engineering, journalism and mass communication, medicine and public health, public affairs and more. In all, the university offers more than 200 undergraduate majors and certificates and upward of 250 graduate programs. The language of instruction is English, and the university follows a semester-based academic calendar. The University of Wisconsin—Madison spends more than $1 billion on research annually. A sampling of the university's research centers includes the Aquatic Sciences Center, the Institute on Aging and the Stem Cell & Regenerative Medicine Center. A total of 19 Nobel Prizes have been awarded to university faculty and alumni.",Madison,United States,USA
University of Groningen,75,73.2,https://www.usnews.com/object/image/0000018a-cc8b-da41-a1fe-ee8bdfe50000/$230925_UniversityofGroningen?size=responsive640&update-time=1695648886064,"The University of Groningen is a public institution that was founded in 1614, making it one of the oldest universities in the Netherlands. It is located primarily in the city of Groningen, approximately 115 miles northeast of Amsterdam. The University of Groningen does not have one clearly defined campus area; university buildings are located throughout the city. Tuition is higher for students from non-European Union and non-European Economic Area countries, with the exception of Swiss nationals. The university does not operate its own housing, but it does reserve rooms for international students in facilities that SSH, an outside organization, manages.

The university has academic divisions focused on a variety of subjects: economics and business, behavioral and social sciences, theology and religious studies, arts, medical sciences, law, spatial sciences, philosophy, and mathematical and natural sciences. The University College Groningen, an undergraduate liberal arts and sciences college where English is the language of instruction, and a new branch campus – Campus Fryslân – are also part of the institution. Overall, the university offers upward of 45 bachelor’s and more than 100 master’s degree programs, as well as doctoral programs. The university follows a semester-based academic calendar. Some undergraduate and most graduate-level degree programs at the University of Groningen are available in English, while the rest are taught in Dutch. University research is generally focused on three main subject areas: energy, healthy aging and sustainable society. The university’s research institutes include the Zernike Institute for Advanced Materials, the Stratingh Institute for Chemistry and the Kapteyn Astronomical Institute.",Groningen,Netherlands,NLD
Erasmus University Rotterdam,76,73.0,N/A,"Erasmus University Rotterdam is a public institution that traces its roots back to 1913. However, the university did not come to exist as it does today until 1973, when the Medical Faculty Rotterdam and the Netherlands School of Economics merged. The university is primarily located in Rotterdam, one of the largest cities in the Netherlands. It is spread across four campuses, including Campus Woudestein, the main location, and Erasmus University College, a residential liberal arts school. Tuition is higher for students from non-European Union and non-European Economic Area countries, with the exception of Swiss and Surinamese students. Student housing is available through organizations unaffiliated with the university.

The university has seven academic divisions: economics; law; social sciences; medicine; philosophy; history, culture and communication; and management. There are also three academic institutes – the Institute of Health Policy and Management, the International Institute of Social Studies and the Institute for Housing and Urban Development Studies. The primary language of instruction for bachelor’s programs is Dutch, but some English-taught undergraduate programs are offered. A number of the university's graduate courses of study are also taught in English, including a master's program in strategic entrepreneurship as well as an international MBA program. Education and research activities at the university are primarily focused on four key areas of study: health, wealth (economics and business), governance and culture. Some of the university's research institutes and centers are the Erasmus University Rotterdam Institute for Behavior and Biology, the Rotterdam Institute for Shipping and Transport Law and the Centre for Historical Culture.",Rotterdam,Netherlands,NLD
University of Southern California,77,72.8,N/A,,Los Angeles,United States,USA
Universite Paris Saclay,78,72.7,N/A,,Saint-Aubin,France,FRA
Georgia Institute of Technology,79,72.5,N/A,,Atlanta,United States,USA
Technical University of Munich,79,72.5,N/A,"The Technical University of Munich, sometimes called TUM, is a public institution that was founded in 1868. The university has three locations in the German state of Bavaria – downtown Munich, Garching and Weihenstephan. The Garching campus, located north of Munich, has the largest enrollment and is home to TUM's natural sciences and technology divisions. In general, students do not pay tuition at the university but rather pay semester fees. TUM does not have its own student housing, though accommodations managed by outside organizations are available.

The university has 13 academic divisions: architecture; chemistry; civil, geo and environmental engineering; education; electrical and computer engineering; informatics; life sciences; management; math; mechanical engineering; medicine; physics; and sport and health sciences. In all, the university offers more than 150 degree programs, and the primary language of instruction is German. However, TUM offers more than three dozen programs that are taught completely in English as well as a number of bilingual programs, most of which are at the master's level. The university’s academic calendar is semester-based. The university has a number of research centers, including the Munich Center for Technology in Society, the Walter Schottky Institut for the study of nanotechnology and nanomaterials and the Hans Eisenmann-Zentrum for agricultural sciences. The Erlenmeyer flask, a piece of equipment commonly found in chemistry labs that is used to measure and store liquids, was named after one of TUM's founding professors.",Munich,Germany,DEU
